id,url,commercial_landlord,title,price_euros,size_sqm,available_rooms,capacity,available_spots_wg,male_flatmates,female_flatmates,diverse_flatmates,published_on,published_at,address,city,crawler,latitude,longitude,available_from,available_to,details_searched,cold_rent_euros,mandatory_costs_euros,extra_costs_euros,transfer_costs_euros,schufa_needed,deposit,zip_code,home_total_size,smoking,wg_possible,building_type,building_floor,furniture,kitchen,heating,public_transport_distance,parking,type_offer_simple,min_age_flatmates,max_age_flatmates,gender_searched,min_age_searched,max_age_searched,construction_year,energy_certificate,energy_usage,energy_efficiency_class,heating_energy_source,price_per_sqm_warm,price_per_sqm_cold,number_languages,internet_speed,toilet,internet_dsl,internet_wlan,internet_flatrate,shower_type_badewanne,shower_type_dusche,floor_type_dielen,floor_type_parkett,floor_type_laminat,floor_type_teppich,floor_type_fliesen,floor_type_pvc,floor_type_fußbodenheizung,extras_waschmaschine,extras_spuelmaschine,extras_terrasse,extras_balkon,extras_garten,extras_gartenmitbenutzung,extras_keller,extras_aufzug,extras_haustiere,extras_fahrradkeller,extras_dachboden,languages_deutsch,languages_englisch,wg_type_studenten,wg_type_keine_zweck,wg_type_maenner,wg_type_business,wg_type_wohnheim,wg_type_vegetarisch_vegan,wg_type_alleinerziehende,wg_type_funktionale,wg_type_berufstaetigen,wg_type_gemischte,wg_type_mit_kindern,wg_type_verbindung,wg_type_lgbtqia,wg_type_senioren,wg_type_inklusive,wg_type_wg_neugruendung,tv_kabel,tv_satellit,days_since_2022,day_of_week_publication,days_available,rental_length_term,furniture_numerical,kitchen_numerical,smoking_numerical,age_category_searched,room_size_house_fraction,flat_with_kids,km_to_centroid,comfort_leisure_spots,comfort_warehouse,activities_education,mobility_public_transport_bus,activities_economic,comfort_industrial,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,activities_supermarket,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_street_secondary,mobility_public_transport_rail,activities_retail,social_life_night_life,comfort_green_natural,comfort_railway,mobility_bike_infraestructure,comfort_green_forests,mobility_street_primary,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,activities_post,comfort_green_parks,comfort_street_motorway,sin_degrees_to_centroid,cos_degrees_to_centroid,sin_published_at,cos_published_at,sin_day_week_int,cos_day_week_int
9869022,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz.9869022.html,0.0,WG Zimmer In Steglitz/Lichterfelde,550,10,1.0,3,1,0,2,0,2023-02-04,14,"Hindenburgdamm, 12203, Berlin",Berlin,WG-Gesucht,52.4500413,13.3155576,2023-03-01,,1,500.0,50.0,0.0,0.0,1.0,600.0,12203.0,,Rauchen überall erlaubt,1.0,no_answer,3.0,möbliert,,Fernwärme,2.0,gute Parkmöglichkeiten,WG,32.0,65.0,Egal,0.0,99.0,,no_answer,,,no_answer,,,4.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,730,plus540days,1.0,0.0,1.0,20_100,,0.0,8.194842420118588,0.0069061641737515,0.0,0.0197375299083986,0.6552976699067045,0.0017690091140438,0.0010007123288809,2.139479522721346e-12,0.1780053582103784,0.0,0.0129355901684048,0.0115176091310175,0.0,0.0997103680036019,0.0298501318841215,0.0734440302272668,1.8265841836011212,0.4551376526551776,7.647543120162296,0.1096878040433352,0.0,1.2389022100848566,0.0,0.0,1.4761852363677157,0.3750249498736839,0.0,0.0824084129506769,2.729089937938504,0.0,0.2159397522825797,6.615339082710661,0.005371420569582,-0.5006892208186096,-0.8656271161164335,-0.4999999999999997,-0.8660254037844387,-0.78183148246803,0.6234898018587333
9869028,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Tiergarten.9869028.html,0.0,Single Room in WH Siegmunds Hof (04.02-27.02.23),320,12,1.0,8,1,3,4,0,2023-02-04,14,"Flotowstraße 6, 10555, Berlin",Berlin,WG-Gesucht,52.5174645,13.3369336,2023-02-04,2023-02-27,1,280.0,40.0,0.0,0.0,1.0,50.0,10555.0,,,1.0,no_answer,2.0,,,no_answer,3.0,no_answer,WG,,,Egal,0.0,99.0,,no_answer,,,no_answer,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,23,30days,0.0,0.0,0.0,20_100,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4999999999999997,-0.8660254037844387,-0.78183148246803,0.6234898018587333
9869003,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.9869003.html,0.0,Große & helles WG Zimmer,510,22,1.0,4,1,2,1,0,2023-02-04,14,"Frankfurter Allee 269, 10317, Berlin",Berlin,WG-Gesucht,52.5111783,13.5027954,2023-02-04,2023-03-31,1,440.0,70.0,0.0,0.0,1.0,500.0,10317.0,110.0,Rauchen auf dem Balkon erlaubt,1.0,Altbau,1.0,möbliert,,Zentralheizung,5.0,no_answer,WG,24.0,30.0,Egal,0.0,99.0,,no_answer,,,no_answer,18.545454545454547,16.0,2.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,55,90days,1.0,0.0,0.5,20_100,0.2,0.0,6.969065826542715,0.1444725858428912,0.0,0.0001173351885997,0.4203721523103457,0.065356537915947,0.1633287641620083,0.0001105040340804,0.094786327974621,1.237122150689174,0.0017407977252273,2.3054562700225534e-08,0.0,0.0079300004097528,0.0054372860480132,0.0216098985966403,0.0017582872557568,0.5224411202947448,0.9486324535295207,0.326553117689864,0.0,5.6947373339892415,0.0,0.0,2.53225345064922,0.0,0.0,0.333224973386819,0.3322071148474297,0.0,0.296699343061692,2.6331920814668965,0.0,0.10239611892201543,0.9947437030862312,-0.4999999999999997,-0.8660254037844387,-0.78183148246803,0.6234898018587333
9869048,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9869048.html,0.0,schönes balkonzimmer - flatshare,530,25,1.0,2,2,0,0,0,2023-02-04,15,"Jonasstraße 00, 12053, Berlin",Berlin,WG-Gesucht,52.4711156,13.431172,2023-03-01,2023-03-31,1,,0.0,0.0,0.0,1.0,150.0,12053.0,80.0,Rauchen nicht erwünscht,1.0,sanierter Altbau,3.0,teilmöbliert,,Gasheizung,5.0,schlechte Parkmöglichkeiten,WG,39.0,39.0,Egal,30.0,45.0,1927.0,no_answer,,,gas,13.25,,2.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,30,30days,0.5,0.0,0.0,40_60,0.3125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7071067811865471,-0.707106781186548,-0.78183148246803,0.6234898018587333
9869134,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.9869134.html,0.0,"Schönes Altbauzimmer für 2,5 Wochen im März",240,16,1.0,4,1,2,1,0,2023-02-04,15,"Damaschkestraße, 10711, Berlin",Berlin,WG-Gesucht,52.5006052,13.299345,2023-03-04,2023-03-20,1,,0.0,0.0,0.0,1.0,0.0,10711.0,,Rauchen nicht erwünscht,1.0,Altbau,4.0,möbliert,,no_answer,,no_answer,WG,25.0,25.0,Frau,0.0,99.0,,no_answer,,,no_answer,,,3.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,16,30days,1.0,0.0,0.0,20_100,,0.0,6.939940521540341,0.0590603550296015,0.0261426151663788,0.064502235403595,0.0840414293054403,0.0899710966715869,1.2847863544432323,2.1546690114839177e-07,2.3846232373343588,0.0838195058022106,0.1239596241670802,0.0,0.0,0.0332843748982439,0.1273799578247094,0.075619387961735,2.4856431163457997,0.5426518496115489,3.75248709637857,0.4602779040765377,0.0,3.28896101904062,1.0,0.0,0.0004445408732121,0.0026247352289518,0.0,0.4748962592882139,0.1938582271936649,0.0,0.2812153191451582,2.38680858056619,0.0038629638168225,-0.0034041693874374648,-0.9999942057986044,-0.7071067811865471,-0.707106781186548,-0.78183148246803,0.6234898018587333
9869065,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9869065.html,0.0,Short Term - Maybachufer Neukölln,525,12,1.0,4,1,3,0,0,2023-02-04,15,"Manitiusstrasse 13, 12047, Berlin",Berlin,WG-Gesucht,52.4906872,13.4338932,2023-02-08,2023-03-18,1,,0.0,0.0,0.0,1.0,100.0,12047.0,,Rauchen auf dem Balkon erlaubt,1.0,Hochhaus,0.0,möbliert,,Zentralheizung,1.0,schlechte Parkmöglichkeiten,WG,30.0,33.0,Egal,25.0,90.0,,no_answer,,,no_answer,,,2.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,38,90days,1.0,0.0,0.5,30_100,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7071067811865471,-0.707106781186548,-0.78183148246803,0.6234898018587333
9868852,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.9868852.html,0.0,Lovely Big room,750,20,1.0,3,1,2,0,0,2023-02-04,15,"126, 10315, Berlin",Berlin,WG-Gesucht,52.5610908,13.3768973,2023-03-01,2023-05-31,1,,0.0,0.0,0.0,1.0,750.0,10315.0,100.0,Rauchen auf dem Balkon erlaubt,1.0,sanierter Altbau,2.0,möbliert,,no_answer,5.0,no_answer,WG,25.0,26.0,Egal,20.0,29.0,,no_answer,,,no_answer,22.5,,3.0,6.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,399,Sat,91,180days,1.0,0.0,0.5,30_30,0.2,0.0,6.791294964998172,0.1219634116091245,0.0,0.0061498095185145,0.3073843192189874,0.0255405040676333,15.390091775864676,0.0,0.5566266751385531,0.5867365406154744,0.148650466851626,0.2574511702327161,0.0,0.0629998496015762,0.0032418458817337,0.0135501262821839,2.440835397645273,0.3976322163260984,4.7462467856548525,0.3744022606251946,0.0,0.0029991787148013,0.0,0.0,0.8614843953400884,0.3741912803837662,0.0,0.1485208834171958,1.4811290428963502,0.0,0.272422384209708,5.492365611888335,0.0,0.9172905468748276,-0.39821859903083345,-0.7071067811865471,-0.707106781186548,-0.78183148246803,0.6234898018587333
9869228,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Berlin.9869228.html,0.0,möbliertes Zimmer,550,8,1.0,2,2,0,0,0,2023-02-04,16,"Kölner Damm 18, 12353, Berlin",Berlin,WG-Gesucht,52.4230394,13.4593573,2023-03-01,2023-04-01,1,500.0,50.0,0.0,0.0,1.0,1000.0,12353.0,,,1.0,no_answer,,möbliert,,no_answer,5.0,no_answer,WG,,,Egal,0.0,99.0,,no_answer,,,no_answer,,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,31,90days,1.0,0.0,0.0,20_100,,0.0,9.47323377337875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8791566543633413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8056504482325749,0.5923912180836675,-0.8660254037844383,-0.5000000000000003,-0.78183148246803,0.6234898018587333
7190736,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.7190736.html,0.0,ROOM IN NEUKÖLLN!,240,15,1.0,2,1,1,0,0,2023-02-04,16,"Silbersteinstraße, 12051, Berlin",Berlin,WG-Gesucht,52.4665172,13.4326546,2023-02-15,2023-02-28,1,,0.0,0.0,0.0,1.0,100.0,12051.0,55.0,Rauchen nicht erwünscht,1.0,sanierter Altbau,1.0,,,no_answer,,no_answer,WG,,,Egal,0.0,99.0,,no_answer,,,no_answer,8.727272727272727,,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,13,30days,0.0,0.0,0.0,20_100,0.2727272727272727,0.0,4.363356371569879,0.0426722068940014,0.0,0.0239468428270512,0.5863207583266753,0.0034779360605572,1.866198957214856,3.634786683889365e-13,1.4313404805562455,0.821017251837084,0.0422931590136616,0.2048352947596719,0.0,0.066474938719344,0.0013452383423677,0.6123317034988993,5.402537049555196,0.4837611837846578,1.917525441897196,0.6478607928805178,0.0,1.1685573063500587,2.0,0.0,0.0,0.1256548620332546,0.0,0.202047441762678,0.902934856665565,0.0,0.354866690984839,6.293022575353188,0.2170190292847938,-0.7491004521368707,0.662456423176903,-0.8660254037844383,-0.5000000000000003,-0.78183148246803,0.6234898018587333
9869165,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.9869165.html,0.0,Schönes großes möbliertes Zimmer in Wilmersdorf!,593,25,1.0,2,1,1,0,0,2023-02-04,16,"Sigmaringer Str 34, 10713, Berlin",Berlin,WG-Gesucht,52.4882353,13.3193173,2023-03-15,2023-04-15,1,383.0,76.0,134.0,0.0,1.0,592.0,10713.0,72.0,Rauchen nicht erwünscht,1.0,sanierter Altbau,3.0,möbliert,,Fernwärme,3.0,gute Parkmöglichkeiten,WG,21.0,22.0,Frau,18.0,27.0,,no_answer,,,distant district heating,16.47222222222222,10.63888888888889,4.0,7.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,Sat,31,90days,1.0,0.0,0.0,20_30,0.3472222222222222,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8660254037844383,-0.5000000000000003,-0.78183148246803,0.6234898018587333
